toxicleaders,0,0,"Bose, Not Gandhi, Ended British Rule In India : Ambedkar https:// paper.li/drew4711700/14 66050048?read=https%3A%2F%2Fswarajyamag.com%2Fpolitics%2Fbose-not-gandhi-ended-british-rule-in-india-ambedkar …",,,956315391151820800,https://twitter.com/toxicleaders/status/956315391151820800
Wirrack,0,0,"I don't think so. This underlying idea that India receives some undue preferential treatment by the U.S., or unduly influence U.S. policy, is unsupported by fact.",,,956315352148791296,https://twitter.com/Wirrack/status/956315352148791296
human995526,0,0,#KarniSena take this fire till parliament of #India #IndiaAtDavos,,#KarniSena #India #IndiaAtDavos,956315351964405760,https://twitter.com/human995526/status/956315351964405760
avigandhi19,0,0,Yeah. Give a time let's see the result of India and England test series then we will talk. And just realize you bhuvi has been in 5he team since 2012 pandya came in 2016. That's callcricketing knowledge know before you talk. That was my point,,,956315350211194887,https://twitter.com/avigandhi19/status/956315350211194887
thaiparampil,0,1,The human-elephant conflict in India 's tea state Assam http://www. bbc.co.uk/news/science-e nvironment-42733022 …,,,956315344892846080,https://twitter.com/thaiparampil/status/956315344892846080
DrSundara3,0,0,"India land of #nonviolence , #landofpeace ? We wand #FDI ? Well, we need to do more...",,#nonviolence #landofpeace #FDI,956315328853688322,https://twitter.com/DrSundara3/status/956315328853688322
GabrelaRiedel,1,1,"""Gabriela se grudou numa india "" @saraapacheco_ oi minha india",@saraapacheco_,,956315300408029184,https://twitter.com/GabrelaRiedel/status/956315300408029184
UpadhyaBadri,1,0,The India Gate becomes a visual poetry during this time of they year. I get goosebumps every time I see the Tricolor shining bright! #IndiaGate #IncredibleIndia #ProudIndian #ILoveMyIndia pic.twitter.com/Ur3KviRytp,,#IndiaGate #IncredibleIndia #ProudIndian #ILoveMyIndia,956315275544023040,https://twitter.com/UpadhyaBadri/status/956315275544023040
shakilahmed2000,0,1,"31 OCT 1914. The British India . Good old days. I have a house in Murree Pindi point hight 7500 feet as old build in 1850, that’s the era of Sir Lawrence Oliver, history remains.",,,956315247807262727,https://twitter.com/shakilahmed2000/status/956315247807262727
piolo_romero,0,0,Franco de Vita - Cuando Tus Ojos Me Miran ft. India Martinez https:// youtu.be/LSR1BNxdT8A vía @YouTube,@YouTube,,956315228706242560,https://twitter.com/piolo_romero/status/956315228706242560
